"month","new_customers","gold","platinum"
"2020-01",7,0,1
"2020-02",7,0,1
"2020-03",10,3,0
"2020-04",8,1,3
"2020-05",13,1,1
"2020-06",8,3,0
"2020-07",8,2,2
"2020-08",10,1,2
"2020-09",7,1,1
"2020-10",9,6,0
"2020-11",11,1,0
"2020-12",9,1,1
"2021-01",9,2,3
"2021-02",8,2,1
"2021-03",13,1,2
"2021-04",11,2,1
"2021-05",11,5,0
"2021-06",11,3,1
"2021-07",10,3,0
"2021-08",14,4,0
"2021-09",11,1,2
"2021-10",11,3,2
"2021-11",13,3,4
"2021-12",7,3,1
"2022-01",12,4,0
"2022-02",10,2,3
"2022-03",14,2,7
"2022-04",12,3,0
"2022-05",8,0,0
"2022-06",13,4,1
"2022-07",15,3,3
"2022-08",13,1,1
"2022-09",9,1,0
"2022-10",10,4,2
"2022-11",9,2,0
"2022-12",4,0,0
"2023-01",9,1,2
"2023-02",10,1,1
"2023-03",15,0,0
"2023-04",6,1,1
"2023-05",11,2,0
"2023-06",16,4,2
"2023-07",10,4,0
"2023-08",7,0,0
"2023-09",11,2,1
"2023-10",12,6,1
"2023-11",15,2,1
"2023-12",7,2,0
"2024-01",8,1,0
"2024-02",6,1,0
"2024-03",10,1,0
"2024-04",10,2,0
"2024-05",10,2,2
"2024-06",11,3,1
"2024-07",9,2,1
"2024-08",9,1,2
"2024-09",7,1,0
"2024-10",13,3,0
"2024-11",8,1,2
"2024-12",5,1,1
