"product_id","product_name","category","total_units_sold","total_revenue"
5,"USB-C Hub 7-port","Electronics",1556,73054.44
11,"Desk Organizer Pro","Office Supplies",1507,49443.43
2,"Wireless Mouse X300","Electronics",1494,42139.56
16,"Standing Desk Electric","Furniture",1494,984010.06
3,"Mechanical Keyboard","Electronics",1491,126259.59
13,"Stapler Heavy Duty","Office Supplies",1490,35037.60
17,"Bookshelf 5-Tier","Furniture",1490,181946.10
4,"4K Monitor 27-inch","Electronics",1488,626632.62
24,"Green Tea Assorted 50ct","Food & Beverages",1487,20877.88
15,"Ergonomic Office Chair","Furniture",1487,489425.13
