year,month,month_name,orders,revenue,unique_customers
2022,1,January,66,60240.89,60
2022,2,February,61,56019.02,56
2022,3,March,46,65747.93,43
2022,4,April,74,95790.24,67
2022,5,May,72,64731.78,63
2022,6,June,68,106866.19,62
2022,7,July,71,76893.66,67
2022,8,August,65,84777.72,61
2022,9,September,73,106131.71,68
2022,10,October,87,72466.76,78
2022,11,November,88,113882.60,74
2022,12,December,72,94953.67,68
2023,1,January,82,113953.72,71
2023,2,February,97,135344.49,91
2023,3,March,112,174722.10,103
2023,4,April,100,118053.16,82
2023,5,May,115,148762.96,104
2023,6,June,109,134028.77,95
2023,7,July,123,120842.95,104
2023,8,August,120,158317.05,100
2023,9,September,123,151328.08,105
2023,10,October,144,144443.61,130
2023,11,November,128,138676.80,104
2023,12,December,156,215613.13,126
2024,1,January,141,152695.76,128
2024,2,February,160,188370.86,137
2024,3,March,148,178935.72,126
2024,4,April,151,194892.76,131
2024,5,May,176,198701.17,143
2024,6,June,194,206138.86,155
2024,7,July,202,302094.34,160
2024,8,August,218,249509.52,174
2024,9,September,251,267318.72,185
2024,10,October,260,298260.40,179
2024,11,November,304,404138.58,198
2024,12,December,377,403118.51,200
