month,new_customers,returning_customers,total_orders
2022-01,60,6,66
2022-02,42,19,61
2022-03,24,22,46
2022-04,39,35,74
2022-05,28,44,72
2022-06,21,47,68
2022-07,21,50,71
2022-08,17,48,65
2022-09,16,57,73
2022-10,17,70,87
2022-11,15,73,88
2022-12,11,61,72
2023-01,12,70,82
2023-02,12,85,97
2023-03,11,101,112
2023-04,15,85,100
2023-05,19,96,115
2023-06,9,100,109
2023-07,15,108,123
2023-08,13,107,120
2023-09,12,111,123
2023-10,13,131,144
2023-11,16,112,128
2023-12,15,141,156
2024-01,9,132,141
2024-02,8,152,160
2024-03,11,137,148
2024-04,9,142,151
2024-05,12,164,176
2024-06,13,181,194
2024-07,11,191,202
2024-08,12,206,218
2024-09,11,240,251
2024-10,15,245,260
2024-11,9,295,304
2024-12,7,370,377
