year,month,month_name,monthly_revenue,ytd_revenue,all_time_running_total
2022,1,January,60240.89,60240.89,60240.89
2022,2,February,56019.02,116259.91,116259.91
2022,3,March,65747.93,182007.84,182007.84
2022,4,April,95790.24,277798.08,277798.08
2022,5,May,64731.78,342529.86,342529.86
2022,6,June,106866.19,449396.05,449396.05
2022,7,July,76893.66,526289.71,526289.71
2022,8,August,84777.72,611067.43,611067.43
2022,9,September,106131.71,717199.14,717199.14
2022,10,October,72466.76,789665.90,789665.90
2022,11,November,113882.60,903548.50,903548.50
2022,12,December,94953.67,998502.17,998502.17
2023,1,January,113953.72,113953.72,1112455.89
2023,2,February,135344.49,249298.21,1247800.38
2023,3,March,174722.10,424020.31,1422522.48
2023,4,April,118053.16,542073.47,1540575.64
2023,5,May,148762.96,690836.43,1689338.60
2023,6,June,134028.77,824865.20,1823367.37
2023,7,July,120842.95,945708.15,1944210.32
2023,8,August,158317.05,1104025.20,2102527.37
2023,9,September,151328.08,1255353.28,2253855.45
2023,10,October,144443.61,1399796.89,2398299.06
2023,11,November,138676.80,1538473.69,2536975.86
2023,12,December,215613.13,1754086.82,2752588.99
2024,1,January,152695.76,152695.76,2905284.75
2024,2,February,188370.86,341066.62,3093655.61
2024,3,March,178935.72,520002.34,3272591.33
2024,4,April,194892.76,714895.10,3467484.09
2024,5,May,198701.17,913596.27,3666185.26
2024,6,June,206138.86,1119735.13,3872324.12
2024,7,July,302094.34,1421829.47,4174418.46
2024,8,August,249509.52,1671338.99,4423927.98
2024,9,September,267318.72,1938657.71,4691246.70
2024,10,October,298260.40,2236918.11,4989507.10
2024,11,November,404138.58,2641056.69,5393645.68
2024,12,December,403118.51,3044175.20,5796764.19
