year,month,revenue,prev_month_revenue,mom_growth_pct
2022,1,60240.89,,
2022,2,56019.02,60240.89,-7.01
2022,3,65747.93,56019.02,17.37
2022,4,95790.24,65747.93,45.69
2022,5,64731.78,95790.24,-32.42
2022,6,106866.19,64731.78,65.09
2022,7,76893.66,106866.19,-28.05
2022,8,84777.72,76893.66,10.25
2022,9,106131.71,84777.72,25.19
2022,10,72466.76,106131.71,-31.72
2022,11,113882.60,72466.76,57.15
2022,12,94953.67,113882.60,-16.62
2023,1,113953.72,94953.67,20.01
2023,2,135344.49,113953.72,18.77
2023,3,174722.10,135344.49,29.09
2023,4,118053.16,174722.10,-32.43
2023,5,148762.96,118053.16,26.01
2023,6,134028.77,148762.96,-9.90
2023,7,120842.95,134028.77,-9.84
2023,8,158317.05,120842.95,31.01
2023,9,151328.08,158317.05,-4.41
2023,10,144443.61,151328.08,-4.55
2023,11,138676.80,144443.61,-3.99
2023,12,215613.13,138676.80,55.48
2024,1,152695.76,215613.13,-29.18
2024,2,188370.86,152695.76,23.36
2024,3,178935.72,188370.86,-5.01
2024,4,194892.76,178935.72,8.92
2024,5,198701.17,194892.76,1.95
2024,6,206138.86,198701.17,3.74
2024,7,302094.34,206138.86,46.55
2024,8,249509.52,302094.34,-17.41
2024,9,267318.72,249509.52,7.14
2024,10,298260.40,267318.72,11.57
2024,11,404138.58,298260.40,35.50
2024,12,403118.51,404138.58,-0.25
