year,month,revenue,moving_avg_3m
2022,1,60240.89,60240.89
2022,2,56019.02,58129.96
2022,3,65747.93,60669.28
2022,4,95790.24,72519.06
2022,5,64731.78,75423.32
2022,6,106866.19,89129.40
2022,7,76893.66,82830.54
2022,8,84777.72,89512.52
2022,9,106131.71,89267.70
2022,10,72466.76,87792.06
2022,11,113882.60,97493.69
2022,12,94953.67,93767.68
2023,1,113953.72,107596.66
2023,2,135344.49,114750.63
2023,3,174722.10,141340.10
2023,4,118053.16,142706.58
2023,5,148762.96,147179.41
2023,6,134028.77,133614.96
2023,7,120842.95,134544.89
2023,8,158317.05,137729.59
2023,9,151328.08,143496.03
2023,10,144443.61,151362.91
2023,11,138676.80,144816.16
2023,12,215613.13,166244.51
2024,1,152695.76,168995.23
2024,2,188370.86,185559.92
2024,3,178935.72,173334.11
2024,4,194892.76,187399.78
2024,5,198701.17,190843.22
2024,6,206138.86,199910.93
2024,7,302094.34,235644.79
2024,8,249509.52,252580.91
2024,9,267318.72,272974.19
2024,10,298260.40,271696.21
2024,11,404138.58,323239.23
2024,12,403118.51,368505.83
