cohort_month,cohort_size,months_since_cohort,active_customers,retention_pct
2022-01-01,60,0,60,100.0
2022-01-01,60,1,14,23.3
2022-01-01,60,2,10,16.7
2022-01-01,60,3,14,23.3
2022-01-01,60,4,10,16.7
2022-01-01,60,5,14,23.3
2022-01-01,60,6,13,21.7
2022-01-01,60,7,8,13.3
2022-01-01,60,8,15,25.0
2022-01-01,60,9,17,28.3
2022-01-01,60,10,12,20.0
2022-01-01,60,11,15,25.0
2022-01-01,60,12,16,26.7
2022-01-01,60,13,16,26.7
2022-01-01,60,14,15,25.0
2022-01-01,60,15,15,25.0
2022-01-01,60,16,10,16.7
2022-01-01,60,17,7,11.7
2022-01-01,60,18,13,21.7
2022-01-01,60,19,12,20.0
2022-01-01,60,20,14,23.3
2022-01-01,60,21,16,26.7
2022-01-01,60,22,16,26.7
2022-01-01,60,23,10,16.7
2022-01-01,60,24,11,18.3
2022-01-01,60,25,13,21.7
2022-01-01,60,26,11,18.3
2022-01-01,60,27,18,30.0
2022-01-01,60,28,9,15.0
2022-01-01,60,29,13,21.7
2022-01-01,60,30,15,25.0
2022-01-01,60,31,11,18.3
2022-01-01,60,32,14,23.3
2022-01-01,60,33,12,20.0
2022-01-01,60,34,13,21.7
2022-01-01,60,35,13,21.7
2022-02-01,42,0,42,100.0
2022-02-01,42,1,9,21.4
2022-02-01,42,2,7,16.7
2022-02-01,42,3,6,14.3
2022-02-01,42,4,7,16.7
2022-02-01,42,5,11,26.2
2022-02-01,42,6,9,21.4
2022-02-01,42,7,9,21.4
2022-02-01,42,8,9,21.4
2022-02-01,42,9,8,19.0
2022-02-01,42,10,7,16.7
2022-02-01,42,11,7,16.7
2022-02-01,42,12,9,21.4
2022-02-01,42,13,16,38.1
2022-02-01,42,14,10,23.8
2022-02-01,42,15,7,16.7
2022-02-01,42,16,11,26.2
2022-02-01,42,17,8,19.0
2022-02-01,42,18,9,21.4
2022-02-01,42,19,11,26.2
2022-02-01,42,20,4,9.5
2022-02-01,42,21,3,7.1
2022-02-01,42,22,7,16.7
2022-02-01,42,23,9,21.4
2022-02-01,42,24,9,21.4
2022-02-01,42,25,7,16.7
2022-02-01,42,26,4,9.5
2022-02-01,42,27,8,19.0
2022-02-01,42,28,8,19.0
2022-02-01,42,29,11,26.2
2022-02-01,42,30,12,28.6
2022-02-01,42,31,7,16.7
2022-02-01,42,32,6,14.3
2022-02-01,42,33,10,23.8
2022-02-01,42,34,8,19.0
2022-03-01,24,0,24,100.0
2022-03-01,24,1,7,29.2
2022-03-01,24,2,7,29.2
2022-03-01,24,3,7,29.2
2022-03-01,24,4,4,16.7
2022-03-01,24,5,3,12.5
2022-03-01,24,6,6,25.0
2022-03-01,24,7,3,12.5
2022-03-01,24,8,7,29.2
2022-03-01,24,9,5,20.8
2022-03-01,24,10,3,12.5
2022-03-01,24,11,3,12.5
2022-03-01,24,12,6,25.0
2022-03-01,24,13,5,20.8
2022-03-01,24,14,10,41.7
2022-03-01,24,15,4,16.7
2022-03-01,24,16,4,16.7
2022-03-01,24,17,2,8.3
2022-03-01,24,18,4,16.7
2022-03-01,24,19,3,12.5
2022-03-01,24,20,2,8.3
2022-03-01,24,21,7,29.2
2022-03-01,24,22,5,20.8
2022-03-01,24,23,6,25.0
2022-03-01,24,24,7,29.2
2022-03-01,24,25,1,4.2
2022-03-01,24,26,4,16.7
2022-03-01,24,27,5,20.8
2022-03-01,24,28,5,20.8
2022-03-01,24,29,3,12.5
2022-03-01,24,30,5,20.8
2022-03-01,24,31,2,8.3
2022-03-01,24,32,2,8.3
2022-03-01,24,33,6,25.0
2022-04-01,39,0,39,100.0
2022-04-01,39,1,12,30.8
2022-04-01,39,2,8,20.5
2022-04-01,39,3,5,12.8
2022-04-01,39,4,11,28.2
2022-04-01,39,5,4,10.3
2022-04-01,39,6,11,28.2
2022-04-01,39,7,12,30.8
2022-04-01,39,8,6,15.4
2022-04-01,39,9,8,20.5
2022-04-01,39,10,8,20.5
2022-04-01,39,11,7,17.9
2022-04-01,39,12,3,7.7
2022-04-01,39,13,11,28.2
2022-04-01,39,14,8,20.5
2022-04-01,39,15,8,20.5
2022-04-01,39,16,8,20.5
2022-04-01,39,17,9,23.1
2022-04-01,39,18,10,25.6
2022-04-01,39,19,7,17.9
2022-04-01,39,20,7,17.9
2022-04-01,39,21,11,28.2
2022-04-01,39,22,7,17.9
2022-04-01,39,23,4,10.3
2022-04-01,39,24,11,28.2
2022-04-01,39,25,7,17.9
2022-04-01,39,26,5,12.8
2022-04-01,39,27,8,20.5
2022-04-01,39,28,8,20.5
2022-04-01,39,29,7,17.9
2022-04-01,39,30,11,28.2
2022-04-01,39,31,6,15.4
2022-04-01,39,32,3,7.7
2022-05-01,28,0,28,100.0
2022-05-01,28,1,5,17.9
2022-05-01,28,2,7,25.0
2022-05-01,28,3,4,14.3
2022-05-01,28,4,4,14.3
2022-05-01,28,5,5,17.9
2022-05-01,28,6,5,17.9
2022-05-01,28,7,5,17.9
2022-05-01,28,8,6,21.4
2022-05-01,28,9,7,25.0
2022-05-01,28,10,7,25.0
2022-05-01,28,11,7,25.0
2022-05-01,28,12,6,21.4
2022-05-01,28,13,6,21.4
2022-05-01,28,14,7,25.0
2022-05-01,28,15,5,17.9
2022-05-01,28,16,5,17.9
2022-05-01,28,17,8,28.6
2022-05-01,28,18,4,14.3
2022-05-01,28,19,5,17.9
2022-05-01,28,20,4,14.3
2022-05-01,28,21,6,21.4
2022-05-01,28,22,7,25.0
2022-05-01,28,23,8,28.6
2022-05-01,28,24,7,25.0
2022-05-01,28,25,5,17.9
2022-05-01,28,26,4,14.3
2022-05-01,28,27,4,14.3
2022-05-01,28,28,10,35.7
2022-05-01,28,29,3,10.7
2022-05-01,28,30,9,32.1
2022-05-01,28,31,6,21.4
2022-06-01,21,0,21,100.0
2022-06-01,21,1,6,28.6
2022-06-01,21,2,5,23.8
2022-06-01,21,3,4,19.0
2022-06-01,21,4,5,23.8
2022-06-01,21,5,5,23.8
2022-06-01,21,6,6,28.6
2022-06-01,21,7,3,14.3
2022-06-01,21,8,4,19.0
2022-06-01,21,9,3,14.3
2022-06-01,21,10,1,4.8
2022-06-01,21,11,3,14.3
2022-06-01,21,12,3,14.3
2022-06-01,21,13,6,28.6
2022-06-01,21,14,3,14.3
2022-06-01,21,15,4,19.0
2022-06-01,21,16,6,28.6
2022-06-01,21,17,2,9.5
2022-06-01,21,18,3,14.3
2022-06-01,21,19,7,33.3
2022-06-01,21,20,3,14.3
2022-06-01,21,21,3,14.3
2022-06-01,21,22,6,28.6
2022-06-01,21,23,4,19.0
2022-06-01,21,24,5,23.8
2022-06-01,21,25,6,28.6
2022-06-01,21,26,6,28.6
2022-06-01,21,27,5,23.8
2022-06-01,21,28,3,14.3
2022-06-01,21,29,4,19.0
2022-06-01,21,30,3,14.3
2022-07-01,21,0,21,100.0
2022-07-01,21,1,4,19.0
2022-07-01,21,2,5,23.8
2022-07-01,21,3,3,14.3
2022-07-01,21,4,2,9.5
2022-07-01,21,5,5,23.8
2022-07-01,21,6,1,4.8
2022-07-01,21,7,6,28.6
2022-07-01,21,8,9,42.9
2022-07-01,21,9,8,38.1
2022-07-01,21,10,1,4.8
2022-07-01,21,11,8,38.1
2022-07-01,21,12,3,14.3
2022-07-01,21,13,6,28.6
2022-07-01,21,14,7,33.3
2022-07-01,21,15,6,28.6
2022-07-01,21,16,3,14.3
2022-07-01,21,17,8,38.1
2022-07-01,21,18,5,23.8
