product_a_name,product_b_name,co_occurrences
Mechanical Keyboard,USB-C Hub 7-port,87
USB-C Hub 7-port,Desk Organizer Pro,86
Standing Desk Electric,Bookshelf 5-Tier,86
Wireless Mouse X300,4K Monitor 27-inch,86
Bookshelf 5-Tier,Energy Bar Pack 12,86
USB-C Hub 7-port,Noise Cancelling Headphones,85
Mechanical Keyboard,Standing Desk Electric,83
Portable SSD 1TB,Standing Desk Electric,82
Laptop Pro 15,Desk Organizer Pro,82
Business Casual Shirt,Premium Coffee Beans 1kg,81
Mechanical Keyboard,Premium Coffee Beans 1kg,81
Portable SSD 1TB,Premium Coffee Beans 1kg,81
Noise Cancelling Headphones,Stapler Heavy Duty,80
Wireless Mouse X300,Premium Notebook A4,80
Desk Organizer Pro,Whiteboard 48x36,80
Portable SSD 1TB,Energy Bar Pack 12,80
Portable SSD 1TB,Business Casual Shirt,79
Mechanical Keyboard,Business Casual Shirt,79
4K Monitor 27-inch,USB-C Hub 7-port,79
4K Monitor 27-inch,Noise Cancelling Headphones,78
